Sample,TemperatureC,SalinityPPT,AlgaePercent,ReefCode,ReefType,Site,Acreage,Latitude,Longitude,ReefShape,SuitableReference,Date,Restoration,TimeSinceConstruct,BuildDate,Species,Species_count,PlantingSeason
1,28,31,5,CCS1,Shell,Cobb Cove,1.92,37.31174594,-75.77336348,Fringe,No reference,6/20/16,Restored,13,2003,Box Adult Oyster,24,Summer
3,28,33,5,CCS1,Shell,Cobb Cove,1.92,37.31174594,-75.77336348,Fringe,No reference,6/21/18,Restored,15,2003,Box Adult Oyster,24,Summer
2,28,33,5,CCS1,Shell,Cobb Cove,1.92,37.31174594,-75.77336348,Fringe,No reference,6/21/18,Restored,15,2003,Box Adult Oyster,12,Summer
2,28,33,0,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,6/21/18,Restored,15,2003,Box Adult Oyster,56,Summer
1,28,33,0,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,6/21/18,Restored,15,2003,Box Adult Oyster,44,Summer
1,28,31,5,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,6/20/16,Restored,13,2003,Box Adult Oyster,56,Summer
3,28,31,5,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,6/20/16,Restored,13,2003,Box Adult Oyster,136,Summer
2,28,31,5,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,6/20/16,Restored,13,2003,Box Adult Oyster,56,Summer
3,28,33,0,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,6/21/18,Restored,15,2003,Box Adult Oyster,36,Summer
1,23,NA,NA,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,9/9/19,Restored,9,2010,Box Adult Oyster,16,Spring
2,29,30,85,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,8/22/18,Restored,8,2010,Box Adult Oyster,20,Spring
2,27,32,80,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,6/30/16,Restored,6,2010,Box Adult Oyster,28,Spring
3,29,30,85,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,8/22/18,Restored,8,2010,Box Adult Oyster,28,Spring
1,29,30,85,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,8/22/18,Restored,8,2010,Box Adult Oyster,88,Spring
3,27,32,80,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,6/30/16,Restored,6,2010,Box Adult Oyster,56,Spring
2,23,NA,NA,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,9/9/19,Restored,9,2010,Box Adult Oyster,16,Spring
3,23,NA,NA,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,9/9/19,Restored,9,2010,Box Adult Oyster,12,Spring
1,27,32,80,BR2,Shell,Black Rocks,0.59,37.60017592,-75.63565692,Fringe,No reference,6/30/16,Restored,6,2010,Box Adult Oyster,344,Spring
1,27,32,80,BR2_W,Whelk,Black Rocks,0.6,37.59988795,-75.63547236,Fringe,No reference,6/30/16,Restored,7,2009,Box Adult Oyster,4,Spring
2,27,32,80,BR2_W,Whelk,Black Rocks,0.6,37.59988795,-75.63547236,Fringe,No reference,6/30/16,Restored,7,2009,Box Adult Oyster,64,Spring
3,27,32,80,BR2_W,Whelk,Black Rocks,0.6,37.59988795,-75.63547236,Fringe,No reference,6/30/16,Restored,7,2009,Box Adult Oyster,92,Spring
3,29,30,85,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,8/22/18,Restored,9,2009,Box Adult Oyster,0,Spring
1,15,33,85,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,4/26/18,Restored,9,2009,Box Adult Oyster,20,Spring
2,27,32,45,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,6/30/16,Restored,7,2009,Box Adult Oyster,28,Spring
2,15,33,85,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,4/26/18,Restored,9,2009,Box Adult Oyster,28,Spring
3,27,32,45,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,6/30/16,Restored,7,2009,Box Adult Oyster,4,Spring
2,29,30,85,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,8/22/18,Restored,9,2009,Box Adult Oyster,0,Spring
3,15,33,85,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,4/26/18,Restored,9,2009,Box Adult Oyster,28,Spring
1,27,32,45,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,6/30/16,Restored,7,2009,Box Adult Oyster,32,Spring
1,29,30,85,BR1_W,Whelk,Black Rocks,0.22,37.6011963,-75.637968,Fringe,No reference,8/22/18,Restored,9,2009,Box Adult Oyster,4,Spring
2,30,31,5,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,7/19/16,Reference,NA,NA,Box Adult Oyster,120,
3,30,31,5,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,7/19/16,Reference,NA,NA,Box Adult Oyster,8,
1,30,31,5,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,7/19/16,Reference,NA,NA,Box Adult Oyster,132,
3,21,30,25,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,5/11/18,Reference,NA,NA,Box Adult Oyster,36,
1,21,30,25,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,5/11/18,Reference,NA,NA,Box Adult Oyster,24,
2,21,30,25,SM1_R,Reference,Smith,0.83,37.14535311,-75.89077207,Patch,Unused Reference,5/11/18,Reference,NA,NA,Box Adult Oyster,16,
2,30,31,0,OL1,Shell,Outlet,0.78,37.39223635,-75.82670114,Patch,No reference,7/21/16,Restored,8,2008,Box Adult Oyster,12,Summer
1,30,31,0,OL1,Shell,Outlet,0.78,37.39223635,-75.82670114,Patch,No reference,7/21/16,Restored,8,2008,Box Adult Oyster,44,Summer
3,30,31,0,OL1,Shell,Outlet,0.78,37.39223635,-75.82670114,Patch,No reference,7/21/16,Restored,8,2008,Box Adult Oyster,8,Summer
1,30,32,5,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,7/28/16,Restored,10,2006,Box Adult Oyster,0,Summer
2,30,32,5,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,7/28/16,Restored,10,2006,Box Adult Oyster,4,Summer
3,30,32,5,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,7/28/16,Restored,10,2006,Box Adult Oyster,4,Summer
1,30,31,20,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,7/25/16,Restored,6,2010,Box Adult Oyster,0,Fall
2,30,31,20,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,7/25/16,Restored,6,2010,Box Adult Oyster,8,Fall
2,26,NA,85,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,6/27/19,Restored,9,2010,Box Adult Oyster,8,Fall
1,26,NA,85,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,6/27/19,Restored,9,2010,Box Adult Oyster,4,Fall
3,26,NA,85,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,6/27/19,Restored,9,2010,Box Adult Oyster,4,Fall
3,30,31,20,PA2,Shell,Parramore,2.58,37.54189743,-75.65195452,Patch,No reference,7/25/16,Restored,6,2010,Box Adult Oyster,36,Fall
3,34,30,80,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,60,Spring
2,34,30,80,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,4,Spring
1,28,33,50,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,8,Spring
3,28,33,50,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,0,Spring
2,27,31,0,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
6,28,33,50,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,0,Spring
1,34,30,80,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,0,Spring
3,27,31,0,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
5,28,33,50,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,0,Spring
2,28,33,50,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,12,Spring
4,28,33,50,TC3,Shell,Tom's Cove,0.96,37.8904531,-75.34656941,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,0,Spring
1,34,30,0,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,4,Spring
2,34,30,0,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,12,Spring
3,26,30,70,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,9/7/17,Restored,1,2016,Box Adult Oyster,4,Spring
6,26,30,70,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,9/7/17,Restored,1,2016,Box Adult Oyster,16,Spring
3,34,30,0,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,0,Spring
2,26,30,70,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,9/7/17,Restored,1,2016,Box Adult Oyster,40,Spring
2,27,31,5,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
5,26,30,70,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,9/7/17,Restored,1,2016,Box Adult Oyster,8,Spring
4,26,30,70,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,9/7/17,Restored,1,2016,Box Adult Oyster,12,Spring
3,27,31,5,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
1,27,31,5,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
1,26,30,70,TC2,Shell,Tom's Cove,0.68,37.89111916,-75.34940027,Fringe,TC1_R,9/7/17,Restored,1,2016,Box Adult Oyster,48,Spring
6,28,33,35,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,8,Spring
3,34,30,0,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,28,Spring
4,28,33,35,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,0,Spring
3,27,31,0,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
2,28,33,35,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,0,Spring
5,28,33,35,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,0,Spring
1,34,30,0,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,8,Spring
2,27,31,0,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
2,34,30,0,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,8/10/18,Restored,2,2016,Box Adult Oyster,60,Spring
1,27,31,0,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,8/10/16,Restored,0,2016,Box Adult Oyster,0,Spring
3,28,33,35,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,8,Spring
1,28,33,35,TC4,Shell,Tom's Cove,0.9,37.88965452,-75.34814616,Patch,TC1_R,6/19/17,Restored,1,2016,Box Adult Oyster,4,Spring
2,30,30,0,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,8/12/16,Reference,NA,NA,Box Adult Oyster,88,
1,28,30,0,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,8/21/18,Reference,NA,NA,Box Adult Oyster,52,
3,30,30,0,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,8/12/16,Reference,NA,NA,Box Adult Oyster,128,
1,30,30,0,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,8/12/16,Reference,NA,NA,Box Adult Oyster,32,
2,28,30,0,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,8/21/18,Reference,NA,NA,Box Adult Oyster,8,
3,28,30,0,SM3_R,Reference,Smith,0.31,37.13714857,-75.89984534,Patch,Reference,8/21/18,Reference,NA,NA,Box Adult Oyster,0,
2,30,30,0,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,8/12/16,Restored,6,2010,Box Adult Oyster,120,Summer
1,30,30,0,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,6/28/18,Restored,8,2010,Box Adult Oyster,12,Summer
2,30,30,0,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,6/28/18,Restored,8,2010,Box Adult Oyster,12,Summer
3,30,30,0,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,8/12/16,Restored,6,2010,Box Adult Oyster,48,Summer
3,30,30,0,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,6/28/18,Restored,8,2010,Box Adult Oyster,12,Summer
1,30,30,0,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,8/12/16,Restored,6,2010,Box Adult Oyster,92,Summer
2,30,30,0,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,8/12/16,Restored,6,2010,Box Adult Oyster,96,Summer
1,28,30,0,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,8/21/18,Restored,8,2010,Box Adult Oyster,24,Summer
1,30,30,0,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,8/12/16,Restored,6,2010,Box Adult Oyster,112,Summer
2,28,30,0,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,8/21/18,Restored,8,2010,Box Adult Oyster,8,Summer
3,30,30,0,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,8/12/16,Restored,6,2010,Box Adult Oyster,16,Summer
3,28,30,0,SM7,Shell,Smith,0.16,37.13741012,-75.89963482,Patch,SM3_R,8/21/18,Restored,8,2010,Box Adult Oyster,28,Summer
2,32,30,0,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,8/6/18,Restored,8,2009,Box Adult Oyster,28,Summer
3,32,30,0,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,8/6/18,Restored,8,2009,Box Adult Oyster,28,Summer
1,30,30,0,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,8/21/17,Restored,7,2009,Box Adult Oyster,0,Summer
2,30,30,0,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,8/21/17,Restored,7,2009,Box Adult Oyster,28,Summer
3,30,30,0,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,8/21/17,Restored,7,2009,Box Adult Oyster,16,Summer
3,12,32,NA,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,3/8/16,Restored,6,2009,Box Adult Oyster,12,Summer
1,32,30,0,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,8/6/18,Restored,8,2009,Box Adult Oyster,32,Summer
1,12,32,NA,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,3/8/16,Restored,6,2009,Box Adult Oyster,0,Summer
2,12,32,NA,PO2,Shell,Point of Rocks,1.49,37.26219683,-75.90161093,Patch,No reference,3/8/16,Restored,6,2009,Box Adult Oyster,16,Summer
1,31,20,0,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,9/6/18,Reference,NA,NA,Box Adult Oyster,60,
3,31,20,0,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,9/6/18,Reference,NA,NA,Box Adult Oyster,72,
3,NA,NA,NA,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,3/9/16,Reference,NA,NA,Box Adult Oyster,184,
2,31,20,0,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,9/6/18,Reference,NA,NA,Box Adult Oyster,56,
1,NA,NA,NA,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,3/9/16,Reference,NA,NA,Box Adult Oyster,176,
2,NA,NA,NA,HC2_R,Reference,Hillcrest,0.06,37.28305317,-75.90604685,Patch,Reference,3/9/16,Reference,NA,NA,Box Adult Oyster,104,
1,NA,NA,NA,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,3/22/16,Restored,5,2011,Box Adult Oyster,92,Spring
3,NA,NA,NA,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,3/22/16,Restored,5,2011,Box Adult Oyster,24,Spring
2,NA,NA,NA,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,3/22/16,Restored,5,2011,Box Adult Oyster,100,Spring
3,12,32,NA,BT5_W,Whelk,Boxtree,0.23,37.38873635,-75.86157835,Fringe,BT2_R,3/22/16,Restored,5,2011,Box Adult Oyster,0,Spring
1,12,32,NA,BT5_W,Whelk,Boxtree,0.23,37.38873635,-75.86157835,Fringe,BT2_R,3/22/16,Restored,5,2011,Box Adult Oyster,92,Spring
2,12,32,NA,BT5_W,Whelk,Boxtree,0.23,37.38873635,-75.86157835,Fringe,BT2_R,3/22/16,Restored,5,2011,Box Adult Oyster,68,Spring
3,24,NA,5,BT2_R,Reference,Boxtree,0.068,37.39146881,-75.85557683,Patch,Reference,8/29/19,Reference,NA,NA,Box Adult Oyster,8,
1,12,32,NA,BT2_R,Reference,Boxtree,0.068,37.39146881,-75.85557683,Patch,Reference,3/22/16,Reference,NA,NA,Box Adult Oyster,8,
2,24,NA,5,BT2_R,Reference,Boxtree,0.068,37.39146881,-75.85557683,Patch,Reference,8/29/19,Reference,NA,NA,Box Adult Oyster,24,
3,12,32,NA,BT2_R,Reference,Boxtree,0.068,37.39146881,-75.85557683,Patch,Reference,3/22/16,Reference,NA,NA,Box Adult Oyster,20,
1,24,NA,5,BT2_R,Reference,Boxtree,0.068,37.39146881,-75.85557683,Patch,Reference,8/29/19,Reference,NA,NA,Box Adult Oyster,0,
2,12,32,NA,BT2_R,Reference,Boxtree,0.068,37.39146881,-75.85557683,Patch,Reference,3/22/16,Reference,NA,NA,Box Adult Oyster,28,
3,18,35,15,HC1_R,Reference,Hillcrest,0.015,37.28572258,-75.91503054,Patch,Reference,4/4/16,Reference,NA,NA,Box Adult Oyster,104,
2,18,35,15,HC1_R,Reference,Hillcrest,0.015,37.28572258,-75.91503054,Patch,Reference,4/4/16,Reference,NA,NA,Box Adult Oyster,68,
1,18,35,15,HC1_R,Reference,Hillcrest,0.015,37.28572258,-75.91503054,Patch,Reference,4/4/16,Reference,NA,NA,Box Adult Oyster,92,
1,29,30,85,BR1,Shell,Black Rocks,0.88,37.60167726,-75.63882964,Fringe,No reference,8/22/18,Restored,8,2010,Box Adult Oyster,20,Spring
3,29,30,85,BR1,Shell,Black Rocks,0.88,37.60167726,-75.63882964,Fringe,No reference,8/22/18,Restored,8,2010,Box Adult Oyster,52,Spring
2,28,30,20,BR1,Shell,Black Rocks,0.88,37.60167726,-75.63882964,Fringe,No reference,7/7/16,Restored,6,2010,Box Adult Oyster,88,Spring
3,28,30,20,BR1,Shell,Black Rocks,0.88,37.60167726,-75.63882964,Fringe,No reference,7/7/16,Restored,6,2010,Box Adult Oyster,4,Spring
2,29,30,85,BR1,Shell,Black Rocks,0.88,37.60167726,-75.63882964,Fringe,No reference,8/22/18,Restored,8,2010,Box Adult Oyster,8,Spring
1,28,30,20,BR1,Shell,Black Rocks,0.88,37.60167726,-75.63882964,Fringe,No reference,7/7/16,Restored,6,2010,Box Adult Oyster,0,Spring
3,26,NA,85,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,6/27/19,Restored,11,2008,Box Adult Oyster,0,Summer
2,26,NA,85,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,6/27/19,Restored,11,2008,Box Adult Oyster,4,Summer
2,28,30,20,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,7/7/16,Restored,8,2008,Box Adult Oyster,16,Summer
1,26,NA,85,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,6/27/19,Restored,11,2008,Box Adult Oyster,16,Summer
3,28,30,20,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,7/7/16,Restored,8,2008,Box Adult Oyster,8,Summer
1,28,30,20,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,7/7/16,Restored,8,2008,Box Adult Oyster,96,Summer
4,30,30,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,0,Fall
5,30,30,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,0,Fall
3,30,30,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,0,Fall
3,34,32,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,7/18/16,Restored,1,2015,Box Adult Oyster,0,Fall
2,30,30,0,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,9/7/18,Restored,3,2015,Box Adult Oyster,0,Fall
1,30,30,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,0,Fall
1,30,30,0,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,9/7/18,Restored,3,2015,Box Adult Oyster,0,Fall
3,30,30,0,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,9/7/18,Restored,3,2015,Box Adult Oyster,4,Fall
2,30,30,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,4,Fall
2,34,32,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,7/18/16,Restored,1,2015,Box Adult Oyster,0,Fall
1,34,32,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,7/18/16,Restored,1,2015,Box Adult Oyster,0,Fall
6,30,30,5,MB1,Shell,Man and Boy,1.4,37.27751436,-75.82642585,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,4,Fall
3,30,30,10,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,28,Fall
6,30,30,10,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,4,Fall
2,34,32,20,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,7/18/16,Restored,1,2015,Box Adult Oyster,0,Fall
2,28,30,0,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,9/26/18,Restored,3,2015,Box Adult Oyster,0,Fall
1,28,30,0,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,9/26/18,Restored,3,2015,Box Adult Oyster,0,Fall
1,34,32,20,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,7/18/16,Restored,1,2015,Box Adult Oyster,0,Fall
4,30,30,10,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,0,Fall
5,30,30,10,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,0,Fall
2,30,30,10,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,0,Fall
1,30,30,10,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,6/22/17,Restored,2,2015,Box Adult Oyster,8,Fall
3,28,30,0,MB2,Shell,Man and Boy,1.32,37.27097687,-75.83044982,Fringe,No reference,9/26/18,Restored,3,2015,Box Adult Oyster,0,Fall
3,31,31,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,7/12/17,Restored,11,2006,Box Adult Oyster,88,Spring
3,32,30,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,7/27/18,Restored,12,2006,Box Adult Oyster,44,Spring
2,32,30,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,7/27/18,Restored,12,2006,Box Adult Oyster,28,Spring
1,32,30,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,7/27/18,Restored,12,2006,Box Adult Oyster,24,Spring
1,31,31,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,7/12/17,Restored,11,2006,Box Adult Oyster,76,Spring
2,31,31,0,HC5,Shell,Hillcrest,0.47,37.27626799,-75.90350232,Patch,HC2_R,7/12/17,Restored,11,2006,Box Adult Oyster,108,Spring
